"","l2fc","fg_exprs","bg_exprs"
"TRIM50",-0.0557580417856923,3.7345819464901e-09,4.32868426871295e-08
"FKBP6",-0.717758918038005,1.34444950073644e-07,8.65736853742589e-07
"FZD9",-0.667412371169393,1.12037458394703e-08,6.06015797619812e-07
"BAZ1B",-0.722980698366536,2.97384760399007e-05,4.97365822475117e-05
"BCL7B",-0.356501847609909,3.13928958421958e-05,4.0473197912466e-05
"TBL2",-0.933890850132015,9.17586784252618e-06,1.84401949847171e-05
"MLXIPL",-0.653223873275251,1.01207170749882e-06,2.16434213435647e-06
"VPS37D",-1.1669378220291,1.00833712555233e-07,1.4717526513624e-06
"DNAJC30",-0.799428849544553,1.0766799751731e-05,1.94790792092083e-05
"WBSCR22",-1.36490548913939,5.39423016351031e-05,0.000140509091362422
"STX1A",-2.07944812289982,1.04941752696372e-06,7.66177115562191e-06
"ABHD11-AS1",-3.87140102298161,4.40680669685832e-07,2.00850950068281e-05
"ABHD11",-2.97615033429594,8.4513589449071e-06,7.33711983546844e-05
"CLDN3",-7.80439270509066,2.76732522234917e-06,0.0008411499270963
"CLDN4",-7.41557937121507,3.208005892035e-06,0.000717436130696484
"WBSCR27",-3.59510672136278,6.94632242047159e-07,1.94790792092083e-05
"WBSCR28",-1.05271077543729,3.7345819464901e-09,1.08217106717824e-06
"RP11-731K22.1",-0.0617045228012361,4.10804014113911e-08,8.65736853742589e-08
"ELN",-0.744206795858428,2.68889900147287e-07,1.12545790986537e-06
"CTB-51J22.1",-0.94379048418825,1.49383277859604e-08,9.52310539116848e-07
"LIMK1",-0.131039061423201,1.19693351385008e-05,1.32024870195745e-05
"EIF4H",-0.620175773378851,6.06496108109993e-05,9.37593012603224e-05
"LAT2",2.8580300161951,4.42249194103358e-05,5.23770796514266e-06
"RFC2",-0.511217565727856,1.50391614985156e-05,2.18598555570004e-05
"CLIP2",0.533308978579734,2.32664455266333e-06,1.29860528061388e-06
"GTF2IRD1",-1.99030113927679,1.57225899947233e-06,9.22009749235857e-06
"RP5-1186P10.2",-0.0450621560442226,1.12037458394703e-08,4.32868426871295e-08
"GTF2I",-1.73479092100295,4.7343295335655e-05,0.000159901596886256
"NCF1",2.18615110078121,8.33334615539802e-05,1.75311712882874e-05
"GTF2IRD2",-0.676669723141321,4.82507987486521e-06,8.31107379592885e-06
"GATSL2",0.0236966086593401,1.04568294501723e-07,8.65736853742589e-08
"WBSCR16",-1.13655025382476,7.92104830850551e-06,1.86133423554657e-05
"GTF2IRD2B",-1.03457947441874,1.83367973572664e-06,4.80483953827137e-06
"AC004878.2",0.034653413244101,2.01667425110466e-07,1.73147370748518e-07
"AC004878.8",-0.398001734142381,1.53117859806094e-07,5.19442112245553e-07
"TRIM73",-0.545896071945001,2.44241659300453e-06,4.02567636990304e-06
"POM121C",-0.885792835714559,7.59987426110736e-06,1.48906738843725e-05
"SPDYE5",-0.124615994233156,1.15772040341193e-07,2.16434213435647e-07
"HIP1",-1.53710984312157,7.90610998071955e-06,2.48466477024123e-05
"CCL26",-1.63795856936583,1.41914113966624e-07,2.55392371854064e-06
"CCL24",0.061737058522261,1.79259933431525e-07,1.29860528061388e-07
"RHBDD2",-0.29517335074596,6.37381100807466e-05,7.84357589490786e-05
"POR",-0.937614350650618,3.4167690228438e-05,6.63587298393695e-05
"TMEM120A",-0.406946934789866,1.98978526108993e-05,2.67079819379589e-05
"STYXL1",-1.33273631514386,1.19768043023938e-05,3.16859688469788e-05
"MDH2",-1.28985243803059,0.000101614240182049,0.000249894942832798
"SRRM3",-0.954255529277111,5.22841472508614e-08,1.03888422449111e-06
"HSPB1",-1.89888963149193,0.000552068310821846,0.00206153588297454
"YWHAG",-1.1466463665563,4.41464931894595e-05,9.89537223827779e-05
"SSC4D",-1.16130433412929,1.15025123951895e-06,3.80924215646739e-06
"ZP3",-1.0963285291922,2.66649150979393e-06,6.83932114456645e-06
"DTX2",-1.1851990897496,9.624017676105e-06,2.31584608376143e-05
"AC007078.4",-0.0611358689104228,0,4.32868426871295e-08
"UPK3B",-1.47088785245204,6.34878930903318e-08,1.94790792092083e-06
"SPDYE16",-0.228640444222631,1.12037458394703e-07,3.03007898809906e-07
"POMZP3",-0.780386813826652,1.49756736054253e-06,3.28980004422184e-06
"AC005522.7",0,0,0
"CCDC146",-2.26414038681476,3.13704883505169e-06,1.88730634115884e-05
"FGL2",3.00285327139426,7.88407594723526e-05,8.9603764362358e-06
"AC073635.5",0,0,0
"GSAP",0.623182632176582,2.03422678625316e-05,1.28561922780774e-05
"RP5-899E9.1",1.69163405349703,5.02674729997568e-06,8.65736853742589e-07
"PTPN12",-0.899710718082164,3.86305156544936e-05,7.29383299278131e-05
"APTR",-2.99301361724786,2.99140013913857e-06,3.0776945150549e-05
"RSBN1L",-0.790429073987045,6.1120168136257e-05,0.000106442346167651
